glove_red=1,avg_KD,avg_SIG_STR_pct,avg_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,total_time_fought(seconds),total_rounds_fought,Height_cms,Reach_cms,Weight_lbs,age,winner_red=1_blue=0_draw=2
1,0.03125,0.4125,94.4375,231.8125,98.59375,885.625,18,172.72,190.5,135,33,0
1,0.31640625,0.514726563,35.6796875,79.0625,42,669.7304688,21,165.1,170.18,125,30,1
1,0.5,0.5,145.5,323.5,177,900,6,165.1,170.18,135,26,1
1,0.5,0.555,15.5,29,15.5,197.25,3,175.26,193.04,155,27,1
1,0.002096653,0.418470678,45.89661813,112.1593521,47.45066857,594.965261,58,177.8,185.42,155,34,0
1,0.316196442,0.784054794,75.09521484,115.1883621,93.28151321,964.51408,42,193.04,203.2,265,40,0
1,0.033203125,0.413535156,55.72265625,169.2441406,68.078125,588.3417969,21,175.26,187.96,155,36,0
1,0.546875,0.4603125,37.3125,86.0625,40.84375,392.734375,14,180.34,177.8,135,28,1
1,1.3125,0.6890625,56.96875,98.25,72.125,512.71875,12,193.04,208.28,205,32,0
1,0,0.64,9,25,19,169,1,170.18,185.42,145,29,1
1,0.5,0.4175,59.75,190,113,874.25,9,182.88,187.96,145,28,1
1,0,0.4575,73.0625,166.8125,86.125,870.3125,14,162.56,157.48,125,30,0
1,1,0.7,66,93,66,419,2,167.64,170.18,145,31,1
1,0.228637695,0.564252319,124.9509888,238.0290527,142.9579468,1278.599365,37,182.88,190.5,155,30,0
1,0.5625,0.4246875,42.1171875,127.796875,56.6328125,568.375,22,185.42,187.96,185,32,0
1,0,0.43203125,31.03125,131.75,78.984375,791.40625,16,167.64,175.26,135,31,1
1,0,0.318757324,67.921875,220.4174805,74.45458984,1128.000977,39,167.64,167.64,125,34,0
1,0.065246582,0.522530613,112.4348326,230.5745336,146.6528025,1202.237241,58,175.26,182.88,155,32,1
1,0.187507629,0.236583252,23.64103699,85.21774292,28.12729645,645.5224609,49,185.42,187.96,185,33,1
1,0,0.415,60.5,179.5,101.5,900,9,170.18,182.88,155,24,1
1,0.0625,0.485,55.625,146.875,85.5,900,15,167.64,165.1,115,33,1
1,0,0.42,12,46,28,282,1,165.1,172.72,125,27,1
1,1.08984375,0.442539062,25.26171875,56.1328125,27.0703125,360.7617188,15,185.42,193.04,205,30,0
1,0.06262207,0.375992686,45.44696832,139.3857043,55.84668744,741.1738205,64,172.72,172.72,145,36,0
1,0.125,0.436875,53.96875,141.34375,69.9375,793.25,16,167.64,175.26,135,28,1
1,0.002197266,0.34682373,39.59570313,136.7329102,60.82617188,898.3200684,33,182.88,185.42,185,33,1
1,0.250976563,0.363554688,27.11328125,68.92773438,33.16113281,549.8701172,27,180.34,182.88,170,30,1
1,0,0.34125,18.59375,60.125,27.1875,266.046875,11,172.72,177.8,125,31,1
1,0.125,0.330273438,47.734375,226.1054688,106.9414063,899.3125,28,170.18,175.26,125,38,0
1,0,0.645,11.5,39,19.5,220,3,185.42,185.42,225,36,1
1,0.000244141,0.368837891,18.96704102,95.55822754,56.01220703,765.4797363,30,185.42,190.5,170,33,1
1,0,0.45,25,79,44.5,579,4,175.26,185.42,145,29,1
1,0.5,0.5475,32.25,59.25,35.25,353.75,6,172.72,182.88,125,25,1
1,,,,,,,0,167.64,175.26,135,31,1
1,1,0.455,76,136.5,79,720,5,182.88,182.88,145,28,1
1,0.5,0.485,19,56.5,38.5,635.5,6,172.72,193.04,185,33,1
1,,,,,,,0,172.72,,135,24,1
1,,,,,,,0,165.1,162.56,125,30,0
1,0,0.4575,71.5,171,85.25,735,7,172.72,167.64,125,24,0
1,2,0.59,26,46,26,197,1,180.34,182.88,185,28,1
1,0,0.4,61,154,66,900,6,182.88,190.5,245,26,1
1,0.510437012,0.35978302,52.77694702,150.4733887,62.60731506,694.5741882,48,187.96,190.5,170,36,1
1,0.25,0.315,27.5,88,46.75,521.75,7,182.88,190.5,170,30,0
1,1.25,0.4225,38.75,102,47,422.75,7,177.8,193.04,185,26,0
1,1.462890625,0.43859375,66.22949219,159.7988281,68.84179688,858.296875,25,182.88,185.42,170,34,0
1,0.011796713,0.406543112,125.1964347,310.7927818,132.7679281,1470.871367,70,180.34,175.26,145,29,1
1,0,0.4296875,38.0859375,157.8125,86.71875,792.859375,21,170.18,170.18,135,32,0
1,0,0.5,3,9,6,498,2,175.26,182.88,145,25,0
1,0.125,0.369921875,30.5234375,78.6796875,30.9453125,546.328125,17,167.64,170.18,135,32,0
1,0.015625,0.46671875,67.65625,166.296875,86.890625,900,21,162.56,170.18,135,35,0
1,0,0.485,76,172.25,85.75,816.5,9,167.64,177.8,185,31,1
1,0.57232666,0.471442261,92.29534912,183.8056641,93.23303223,927.1433716,43,182.88,190.5,170,37,1
1,0.032318115,0.464447327,64.41183472,137.5007019,66.99008179,1098.30365,56,170.18,177.8,135,34,1
1,0.093772888,0.524369545,49.95155716,107.1293526,63.00987625,737.9572067,48,177.8,182.88,155,33,1
1,0.000488281,0.504223633,61.22998047,198.6674805,113.7280273,835.7543945,34,190.5,198.12,249,35,1
1,0.375,0.55,62,115.25,65.75,762.625,10,185.42,185.42,170,27,1
1,0,0.524765625,37.5390625,107.765625,68.125,751.3671875,15,165.1,160.02,125,25,0
1,,,,,,,0,170.18,172.72,125,30,1
1,,,,,,,0,182.88,195.58,205,26,1
1,0,0.461875,61.46875,153.890625,84.328125,854.640625,16,177.8,180.34,155,30,1
1,0.0625,0.360664063,10.796875,25.5625,12.8203125,148.2734375,19,180.34,182.88,155,31,0
1,0.3125,0.753164063,37.15625,99.2890625,74.58203125,430.0351563,22,190.5,205.74,185,28,1
1,0.0625,0.4775,13.5625,47,18.75,328.9375,9,162.56,160.02,115,27,1
1,0.004165649,0.491366577,119.7433167,245.3777466,120.3203735,1049.581268,40,180.34,193.04,155,36,0
1,0.677734375,0.661953125,17.60546875,28.00585938,19.59960938,245.171875,20,165.1,172.72,125,32,2
1,0.095336437,0.471241651,19.51771116,41.61047983,19.88912821,438.197042,56,193.04,195.58,238,36,0
1,0,0.42875,62.5,159.375,69.125,775.75,12,167.64,167.64,145,34,1
