fighter,gloves_color,date,Winner,avg_KD,avg_SIG_STR_pct,avg_TD_pct,avg_SUB_ATT,avg_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_TD_landed,avg_CTRL_time(seconds),total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Stance,Height_cms,Reach_cms,Weight_lbs,age
Jan Blachowicz,red,3/6/2021,Red,0.825195313,0.456121826,0.022807617,0.017700195,36.394104,85.80523682,41.70812988,0.04309082,9.817443848,587.8077393,39,1,1,0,4,10,5,0,0,1,3,4,2,0,Orthodox,187.96,198.12,205,38
Thiago Santos,red,3/6/2021,Blue,0.760400772,0.505374584,0.183696899,0.015625,44.54456902,123.8535004,67.23523712,0.266143799,58.49700165,876.8006668,40,1,0,1,4,13,7,0,0,0,2,11,0,0,Orthodox,187.96,193.04,205,37
Joseph Benavidez,red,3/6/2021,Blue,0.187625885,0.544965229,0.055061131,0.000263214,31.08330917,70.81346893,37.59082222,0.504957199,50.75162125,413.0396843,48,3,3,0,6,15,5,0,0,1,8,5,1,0,Southpaw,162.56,165.1,125,36
Amanda Nunes,red,3/6/2021,Red,0.251464844,0.519829102,0.633231201,1.008789063,90.39160156,213.7929688,125.3968506,5.129516602,530.2392578,1228.584717,34,8,2,0,11,13,1,0,0,1,3,7,2,0,Orthodox,172.72,175.26,145,32
Islam Makhachev,red,3/6/2021,Red,0.5625,0.51875,0.2865625,0.1640625,27.875,96.8828125,61.9921875,1.3671875,274.171875,760.53125,17,0,1,0,6,7,1,0,0,0,4,1,2,0,Southpaw,177.8,177.8,155,29
Tim Elliott,red,3/6/2021,Red,0.00012207,0.450472412,0.233674316,1.079589844,46.34509277,137.4373779,71.16821289,2.086303711,172.251709,727.8164063,36,1,0,1,2,5,9,0,0,0,4,0,1,0,Southpaw,170.18,167.64,125,34
Livinha Souza,red,3/6/2021,Blue,0,0.5225,0.465,0.5,32.875,82.75,53.125,1.625,124.875,797.625,10,0,2,0,2,3,1,0,0,1,1,0,1,0,Orthodox,160.02,160.02,115,29
Rogerio Bontorin,red,3/6/2021,Blue,0,0.485,0.1825,0.5,16.5,43.75,27,0.75,115.75,719,7,0,2,0,2,2,1,0,0,1,0,0,0,1,Orthodox,165.1,170.18,125,28
Uros Medic,red,3/6/2021,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,185.42,180.34,155,27
Kennedy Nzechukwu,red,3/6/2021,Red,0,0.475,0,0,45,101.5,48.5,0,132,880,6,0,0,1,1,1,1,0,0,0,1,0,0,0,Southpaw,195.58,210.82,205,28
Sean Brady,red,3/6/2021,Red,0.25,0.5475,0.775,1.25,58.5,157.25,100.75,2.5,194,653.5,8,0,3,0,3,3,0,0,0,0,2,0,1,0,Orthodox,177.8,182.88,170,28
Mario Bautista,red,3/6/2021,Blue,0.5,0.335,0.25,0,43.5,116.75,56.25,0.25,29.25,478.25,6,0,0,1,2,2,1,0,0,0,1,1,0,0,Switch,175.26,175.26,135,27
