fighter,gloves_color,date,Winner,avg_KD,avg_SIG_STR_pct,avg_TD_pct,avg_SUB_ATT,avg_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_TD_landed,avg_CTRL_time(seconds),total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Stance,Height_cms,Reach_cms,Weight_lbs,age
Scott Jorgensen,red,12/14/2013,Blue,0,0.4721875,0.1425,0.25,51.84375,129.09375,56.40625,0.6875,148.9375,783.40625,14,0,2,0,2,3,3,0,0,0,1,1,1,0,Orthodox,165.1,167.64,135,31
Joe Lauzon,red,12/14/2013,Red,0.015686035,0.248080444,0.054616089,0.935546875,27.27459717,106.5108643,31.50244141,0.268920898,64.53851318,785.6465454,28,0,3,0,3,9,6,0,0,0,0,2,7,0,Orthodox,177.8,180.34,155,29
Abel Trujillo,red,12/14/2013,Red,0.25,0.48,1,0.5,42,104,56.5,1,118,657.5,7,0,1,0,1,1,2,0,0,0,0,1,0,0,Orthodox,172.72,177.8,155,30
Sam Stout,red,12/14/2013,Red,0.020507813,0.314267883,0.618144531,0.00390625,62.88702393,229.2554626,79.2010498,1.508300781,155.8244629,883.038269,44,0,1,0,2,8,8,0,0,3,4,1,0,0,Orthodox,175.26,177.8,155,29
Darren Uyenoyama,red,12/14/2013,Blue,0,0.4125,0.165,0.75,11,55.25,30.5,0.5,130,649.5,7,0,2,0,2,2,1,0,0,0,1,0,1,0,Orthodox,167.64,165.1,125,34
Nick Ring,red,12/6/2013,Blue,0,0.413125,0.0625,0.0625,69.8125,180.3125,76.9375,0.3125,63.9375,894.5625,15,0,2,0,2,3,2,0,0,0,2,0,1,0,Southpaw,182.88,187.96,185,34
Pat Barry,red,12/6/2013,Blue,0.361328125,0.690458984,0,0.125,7.959960938,12.734375,8.983398438,0,26.18066406,189.1074219,18,0,1,0,1,5,6,0,0,0,1,4,0,0,Orthodox,180.34,187.96,235,34
Takeya Mizugaki,red,12/6/2013,Red,0.0625,0.43828125,0.403125,0.5,48.953125,142.6875,80.375,1.71875,205.5,889.6875,20,0,1,0,3,5,2,0,0,3,1,1,0,0,Orthodox,170.18,175.26,135,29
Dylan Andrews,red,12/6/2013,Blue,0.5,0.635,0.2,0,20,43,27,1,38.5,447,4,0,2,0,2,2,0,0,0,0,0,2,0,0,Switch,185.42,187.96,185,34
Ryan Bader,red,12/6/2013,Red,0.285644531,0.405595703,0.03043457,0.750976563,11.14208984,33.41601563,17.23730469,0.280761719,55.57617188,220.1708984,24,1,5,0,5,8,4,0,0,0,4,3,1,0,Orthodox,187.96,187.96,205,30
Mark Hunt,red,12/6/2013,Draw,0.40625,0.4134375,0.1875,0.0625,30.9375,92.34375,41.84375,0.40625,86.5,692.125,13,0,0,1,4,4,2,0,0,0,1,3,0,0,Orthodox,177.8,182.88,265,39
Mauricio Rua,red,12/6/2013,Red,0.16796875,0.250449219,0.185888672,0.314453125,25.96972656,75.32128906,48.32128906,1.068359375,168.609375,631.0166016,30,3,0,1,2,5,6,0,0,0,0,5,0,0,Orthodox,185.42,193.04,205,32
Julie Kedzie,red,12/6/2013,Blue,0,0.36,0.22,0,28,127,73,2,291,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,165.1,,135,32
Ben Wall,red,12/6/2013,Blue,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,,155,24
Richie Vaculik,red,12/6/2013,Blue,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,125,30
Bruno Santos,red,12/6/2013,Blue,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,,185,26
Akira Corassani,red,11/30/2013,Red,0,0.515,0.165,0,46.5,97.5,54,1,136,900,6,0,2,0,2,2,0,0,0,1,1,0,0,0,Orthodox,172.72,172.72,145,31
Julianna Pena,red,11/30/2013,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,135,24
Rani Yahya,red,11/30/2013,Blue,0,0.379375,0.321875,1,14.0625,130.625,103.875,2.5625,433.75,811.875,13,0,1,0,3,4,1,0,0,0,3,0,1,0,Orthodox,167.64,170.18,135,29
Gray Maynard,red,11/30/2013,Blue,0.313232422,0.351533203,0.070498047,0.325927734,29.95092773,115.1894531,34.87841797,0.641113281,44.3425293,729.8955078,39,2,0,1,8,9,4,0,0,3,5,1,0,0,Orthodox,175.26,177.8,155,34
Chris Holdsworth,red,11/30/2013,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,180.34,,135,26
Jessamyn Duke,red,11/30/2013,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,135,27
Roxanne Modafferi,red,11/30/2013,Blue,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,125,31
Sean Spencer,red,11/30/2013,Red,0,0.245,0,0,55.5,184,57,0,5.5,816.5,6,0,0,1,1,1,1,0,0,1,0,0,0,0,Orthodox,177.8,187.96,170,26
Josh Sampo,red,11/30/2013,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,162.56,125,29
Jared Rosholt,red,11/30/2013,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,190.5,265,27
Josh Koscheck,red,11/16/2013,Blue,0.005012512,0.435879431,0.394842095,0.023466587,16.03494167,56.28269053,27.09498453,1.610202312,184.9234385,541.8919382,48,1,2,0,5,15,7,0,0,1,5,6,3,0,Orthodox,177.8,185.42,170,35
Georges St-Pierre,red,11/16/2013,Red,0.027591705,0.552323742,0.662428951,0.212463379,91.88737869,265.7783184,179.3890438,7.320838928,722.2343483,1494.139114,63,13,2,0,11,18,2,0,0,1,10,5,2,0,Orthodox,180.34,193.04,185,32
Rashad Evans,red,11/16/2013,Red,0.00112915,0.375019989,0.138216095,0,36.69148254,117.3685608,54.94389343,0.584335327,163.2099152,1000.499634,50,4,5,0,5,13,4,0,1,4,3,5,0,0,Orthodox,182.88,190.5,205,34
Tim Elliott,red,11/16/2013,Blue,0.25,0.5075,0.625,2,86.75,313.75,202.5,4.75,381.5,900,9,0,0,1,2,2,1,0,0,0,2,0,0,0,Southpaw,170.18,167.64,125,26
Brian Ebersole,red,11/16/2013,Blue,0.0625,0.514375,0.18125,0.0625,33.3125,100.875,62.25,1.5,314.4375,860.5,13,0,4,0,4,4,1,0,0,1,2,1,0,0,Southpaw,182.88,185.42,170,32
Rory MacDonald,red,11/16/2013,Blue,0,0.48359375,0.24546875,0.15625,61.265625,133.46875,69.171875,0.796875,104.5,790.875,16,0,1,0,5,6,1,0,0,0,3,2,1,0,Orthodox,182.88,193.04,170,24
Ed Herman,red,11/16/2013,Blue,0.032226563,0.497879639,0.584033203,0.946777344,46.63928223,134.3231201,90.71081543,1.627441406,177.3214111,760.2000732,30,1,0,2,3,8,6,0,0,1,1,2,4,0,Orthodox,185.42,195.58,205,33
Donald Cerrone,red,11/16/2013,Red,0.078125,0.475566406,0.654277344,0.009765625,44.89648438,106.7363281,59.58007813,1.537109375,118.7714844,745.9179688,21,0,4,0,4,7,3,0,0,0,3,2,2,0,Orthodox,185.42,185.42,155,30
Jason High,red,11/16/2013,Red,0,0.175,0.5,1.75,3.5,19.25,10.25,0.5,74.5,293.25,5,0,0,2,1,1,2,0,0,0,0,0,1,0,Southpaw,172.72,185.42,155,32
Will Campuzano,red,11/16/2013,Blue,0,0.35,0.25,0,39,122.5,54,0.5,97,886.5,6,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,175.26,177.8,125,27
Erik Perez,red,11/16/2013,Red,0.375,0.5175,0.225,0.125,31.875,93,45.25,2.5,208.5,541.875,6,0,3,0,3,3,1,0,0,0,0,2,1,0,Orthodox,172.72,172.72,135,23
Cody Donovan,red,11/16/2013,Blue,0.5,0.68,0.5,0,14.5,33.5,24.5,0.5,66,201,2,0,1,0,1,1,1,0,0,0,0,1,0,0,Orthodox,190.5,187.96,205,32
Thiago Perpetuo,red,11/9/2013,Blue,1,0.72,0.25,0,68,121,91,1,294,641,3,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,177.8,,170,25
Paulo Thiago,red,11/9/2013,Blue,0.017578125,0.345039063,0.326484375,0.220703125,26.2421875,86.60742188,54.00390625,1.4296875,109.7050781,787.6035156,25,0,1,0,2,5,5,0,0,0,3,1,1,0,Orthodox,180.34,187.96,170,32
Cezar Ferreira,red,11/9/2013,Red,1,0.485,0,0.5,22.5,64.5,24.5,0,30,473.5,4,1,2,0,2,2,0,0,0,0,1,0,1,0,Southpaw,185.42,198.12,185,28
Rafael Cavalcante,red,11/9/2013,Red,0,0.39,0,0,24,61,24,0,0,269,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,185.42,187.96,205,33
Rony Jason,red,11/9/2013,Blue,0,0.67,0.25,0.75,24,57,34,0.25,69.75,406,6,1,3,0,3,3,0,0,0,0,1,1,1,0,Orthodox,170.18,185.42,145,29
Vitor Belfort,red,11/9/2013,Red,0.81312561,0.421355057,0.000259399,0.195495605,12.50585938,34.23877716,15.556427,0.000869751,14.39648438,323.7982788,28,4,3,0,3,12,6,0,0,0,0,9,2,1,Southpaw,182.88,187.96,185,36
Santiago Ponzinibbio,red,11/9/2013,Blue,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,170,27
Thiago Tavares,red,11/9/2013,Red,0,0.295722656,0.199013672,0.055664063,17.5390625,67.26293945,34.1081543,1.055175781,99.79907227,399.795166,31,0,2,0,2,7,6,0,0,0,4,1,2,0,Orthodox,170.18,177.8,145,29
Godofredo Pepey,red,11/9/2013,Blue,0,0.3625,0.25,0.25,19,87,56.5,0.5,109.75,556,7,1,0,1,1,1,2,0,0,1,0,0,0,0,Orthodox,170.18,185.42,145,26
Adriano Martins,red,11/9/2013,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,182.88,155,30
Jose Maria,red,11/9/2013,Blue,0,0.52,0.2,1,19,44,25,1,33,363,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,165.1,,125,31
Liz Carmouche,red,11/6/2013,Blue,0,0.63,0.5,1,27,95,68,1.5,262,413,3,1,0,1,1,1,1,0,0,0,0,1,0,0,Orthodox,167.64,167.64,125,29
Colton Smith,red,11/6/2013,Blue,0.5,0.595,0.215,1,24,102,60.5,3.5,374.5,770.5,6,1,1,0,1,1,1,0,0,0,1,0,0,0,Orthodox,182.88,180.34,155,26
Tim Kennedy,red,11/6/2013,Red,0,0.58,0.5,0,54,145,101,2,371,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,180.34,187.96,185,34
Dennis Bermudez,red,11/6/2013,Red,0.3125,0.41,0.4,0.8125,72.375,204.375,95.3125,2.6875,253.4375,784.8125,11,1,0,1,4,4,1,0,0,2,1,0,1,0,Orthodox,167.64,167.64,155,26
Bobby Green,red,11/6/2013,Red,0,0.6,1,1,54,106,69,1,273,865,3,0,1,0,1,1,0,0,0,0,0,0,1,0,Orthodox,177.8,180.34,155,27
Jorge Masvidal,red,11/6/2013,Blue,0,0.5,0.375,1,37,121.5,68.5,3,317,749.5,5,0,2,0,2,2,0,0,0,0,1,0,1,0,Orthodox,180.34,187.96,170,28
Ronny Markes,red,11/6/2013,Blue,0,0.6225,0.4125,1,28,90.5,69,3,538.75,900,9,0,3,0,3,3,0,0,0,1,2,0,0,0,Orthodox,185.42,190.5,185,25
George Roop,red,11/6/2013,Blue,0.53125,0.423085938,0.23140625,0.25,40.20703125,128.1523438,71.5859375,0.62890625,107.8945313,574.4921875,22,0,0,1,2,4,5,0,0,1,1,2,0,0,Orthodox,185.42,182.88,135,31
Derek Brunson,red,11/6/2013,Red,0,0.31,0.3,1,41,174,76,4,441,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Southpaw,185.42,195.58,185,29
Amanda Nunes,red,11/6/2013,Red,0,0.62,0.66,0,10,25,16,2,98,128,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,172.72,175.26,145,25
Chris Camozzi,red,11/6/2013,Blue,0,0.304726563,0,0.078125,34.53125,118.9296875,40.203125,0,19.65234375,533.1484375,23,0,2,0,4,6,3,0,0,2,2,0,1,1,Orthodox,187.96,190.5,185,26
Neil Magny,red,11/6/2013,Blue,0,0.39,0.4,0,36,94.5,53,2,164.5,546.5,4,0,1,0,1,1,1,0,0,0,1,0,0,0,Orthodox,190.5,203.2,170,26
Yves Edwards,red,11/6/2013,Draw,0.190155029,0.406513672,0.094714661,0.016090393,44.38725281,113.9263382,47.20990753,0.270515442,49.05843353,773.8176422,41,0,0,2,6,10,8,0,0,1,2,5,2,0,Southpaw,175.26,185.42,155,37
Phil Harris,red,10/26/2013,Blue,0,0.195,0.83,0,21.5,106,23,1.5,81.5,709,5,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,162.56,165.1,125,30
Ross Pearson,red,10/26/2013,Draw,1,0.565683594,0.63671875,0,37.97070313,91.17773438,52.66015625,0.98828125,40.34375,600.0351563,26,1,3,0,3,7,3,0,0,0,4,2,0,1,Orthodox,172.72,175.26,155,29
Norman Parke,red,10/26/2013,Red,0,0.475,0.405,0,55,121,62.5,4,347,900,6,1,2,0,2,2,0,0,0,0,2,0,0,0,Southpaw,180.34,177.8,155,26
Lyoto Machida,red,10/26/2013,Red,0.164916992,0.47963562,0.264243164,0.017028809,24.99859619,53.92785645,25.69970703,0.284179688,18.01025391,794.5195313,38,4,8,0,8,11,4,0,0,1,5,4,1,0,Southpaw,185.42,187.96,185,35
Luke Barnatt,red,10/26/2013,Red,0,0.48,0.5,1,113,238,119,1,42,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,198.12,195.58,185,25
Al Iaquinta,red,10/26/2013,Red,0,0.475,0.5,0,44,99.5,47,2,26.5,533.5,4,1,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,177.8,177.8,155,26
Jimi Manuwa,red,10/26/2013,Red,0.5,0.59,0.5,0.5,35.5,57.5,36.5,1.5,96.5,450,3,0,2,0,2,2,0,0,0,0,0,0,0,2,Orthodox,185.42,200.66,205,33
Alessio Sakara,red,10/26/2013,Blue,0.57824707,0.57697998,0.001098633,0,18.9675293,36.89990234,21.40966797,0.003051758,8.171630859,235.2028809,21,0,0,1,3,6,8,0,0,1,1,4,0,0,Orthodox,182.88,182.88,185,32
Jimy Hettes,red,10/26/2013,Red,0,0.49,0.385,1,64.25,181.75,119.5,5,323,798,8,0,2,0,2,2,1,0,0,0,1,0,1,0,Southpaw,175.26,180.34,145,26
Andy Ogle,red,10/26/2013,Blue,0.5,0.47,0.545,0,35.5,154.5,110.5,1.5,569.5,900,6,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,172.72,175.26,145,24
Brad Scott,red,10/26/2013,Red,0,0.32,0.2,0,55,205,82,1,255,900,3,1,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,185.42,193.04,170,24
Rosi Sexton,red,10/26/2013,Blue,0,0.55,0.5,0,34,158,115,1,363,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,160.02,,135,36
Gabriel Gonzaga,red,10/19/2013,Red,0.50994873,0.871455688,0.129836731,0.220214844,5.533294678,11.87567139,7.652679443,0.52230835,39.54400635,117.9519958,25,1,4,0,4,10,6,0,0,0,0,6,4,0,Orthodox,187.96,193.04,242,34
John Dodson,red,10/19/2013,Red,1.125,0.33125,0.1875,0,47.625,146.375,55.875,0.75,83.375,1020.5,11,2,3,0,3,3,1,0,0,0,1,2,0,0,Orthodox,160.02,167.64,135,29
Sarah Kaufman,red,10/19/2013,Draw,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,167.64,135,28
Gilbert Melendez,red,10/19/2013,Red,0,0.22,1,0,43,204,56,1,51,1500,5,1,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,175.26,185.42,145,31
Nate Marquardt,red,10/19/2013,Blue,0.029296875,0.534799194,0.349382324,0.384277344,22.76678467,52.8927002,31.79931641,1.153991699,137.2485352,478.107666,33,1,4,0,4,10,5,0,0,0,4,4,2,0,Orthodox,182.88,187.96,185,34
Cain Velasquez,red,10/19/2013,Red,0.831054688,0.576025391,0.235136719,0.0078125,42.84375,116.8710938,72.91503906,2.975585938,249.4501953,464.0078125,19,4,7,0,7,10,1,0,0,0,2,8,0,0,Orthodox,185.42,195.58,240,31
Tim Boetsch,red,10/19/2013,Red,0.313476563,0.529926758,0.258134766,1.63671875,29.21386719,78.33740234,49.83837891,1.246582031,154.1611328,837.7475586,30,0,1,0,4,7,5,0,0,1,3,3,0,0,Orthodox,182.88,187.96,185,32
Daniel Cormier,red,10/19/2013,Red,0,0.61,0,0,59,139,102,0,454,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,180.34,182.88,235,34
TJ Waldburger,red,10/19/2013,Blue,0.75,0.678125,0.5484375,3.46875,12.875,28.09375,18.375,1.25,99.84375,459.46875,11,0,1,0,2,4,2,0,0,0,1,0,3,0,Orthodox,180.34,190.5,170,25
Tony Ferguson,red,10/19/2013,Red,0.125,0.305,0.3325,0.25,44.25,162.5,45.5,0.5,12,741.75,8,1,3,0,3,3,1,0,0,0,1,1,0,1,Orthodox,180.34,193.04,155,29
Jeremy Larsen,red,10/19/2013,Blue,0.5,0.46,0.14,0,32.5,72.5,36,1,102.5,366,4,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,29
Dustin Pague,red,10/19/2013,Blue,0,0.67875,0.4375,3.8125,18.6875,58.375,40.875,0.8125,186.8125,804.375,11,0,0,1,1,1,4,0,0,0,0,0,1,0,Orthodox,175.26,187.96,135,26
George Sotiropoulos,red,10/19/2013,Blue,0.03125,0.228085938,0.134433594,0.19921875,25.60742188,103.0585938,28.40820313,0.791015625,77.49609375,526.0664063,22,0,7,0,7,7,3,0,0,0,2,1,4,0,Orthodox,177.8,180.34,155,36
Raphael Assuncao,red,10/9/2013,Red,0.125,0.386875,0.323125,0.5,31.5,90.3125,40.125,1.6875,146.8125,536.875,11,0,0,1,4,4,1,0,0,0,2,1,1,0,Orthodox,165.1,167.64,135,31
Fabio Maldonado,red,10/9/2013,Red,0.0625,0.565,0.3125,0.25,75.1875,165.6875,118.8125,0.625,138.375,809.25,14,0,1,0,1,2,3,0,0,0,1,1,0,0,Orthodox,185.42,190.5,205,33
Ildemar Alcantara,red,10/9/2013,Blue,0,0.37,0.83,1.5,28.5,102,47.5,2.5,134.5,679.5,5,0,2,0,2,2,0,0,0,0,1,0,1,0,Orthodox,187.96,198.12,185,30
Rousimar Palhares,red,10/9/2013,Red,0.0625,0.356171875,0.316914063,0.5078125,7.850585938,21.65136719,13.43261719,0.395507813,25.82324219,258.5976563,19,0,1,0,3,7,4,0,0,0,2,0,5,0,Orthodox,172.72,180.34,170,33
Thiago Silva,red,10/9/2013,Red,0.516601563,0.511455078,0.314941406,0.317382813,43.16503906,107.2763672,62.84375,0.440429688,65.73535156,513.0224609,20,0,4,0,4,6,5,0,0,0,0,6,0,0,Orthodox,187.96,187.96,205,30
Erick Silva,red,10/9/2013,Blue,0.0625,0.30875,0.165,1.25,6.75,13.5,8.5,0.5,57.9375,298.9375,7,0,1,0,1,3,2,0,0,0,0,1,2,0,Orthodox,182.88,187.96,170,29
Demian Maia,red,10/9/2013,Blue,0,0.673588562,0.413985596,1.793640137,12.31072998,59.50790405,42.52838135,4.563079834,449.973999,606.2979431,37,1,5,0,5,12,4,0,0,0,5,1,6,0,Southpaw,185.42,182.88,170,35
Yan Cabral,red,10/9/2013,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,155,30
Iliarde Santos,red,10/9/2013,Blue,0,0.275,0.07,0,23,93.5,25,0.5,31.5,525.5,4,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,165.1,170.18,125,33
Alan Patrick,red,10/9/2013,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,180.34,187.96,155,30
Pat Healy,red,9/21/2013,Blue,0,0.525,0.355,1,33,108.5,77.5,2.5,220,499.5,4,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,182.88,182.88,155,30
Ivan Menjivar,red,9/21/2013,Blue,0.015625,0.46140625,0.5625,0.40625,11.71875,49.015625,26.890625,0.5625,10.40625,348.15625,13,0,0,1,3,4,3,0,0,0,1,1,2,0,Orthodox,167.64,162.56,145,31
Mike Ricci,red,9/21/2013,Blue,0,0.47,0.5,0,28,81,32.5,1,126.5,900,6,1,0,1,1,1,1,0,0,0,1,0,0,0,Southpaw,182.88,193.04,155,27
Constantinos Philippou,red,9/21/2013,Blue,0.21875,0.3621875,0.083125,0.09375,35.125,125.90625,54.28125,0.125,99.84375,771.1875,16,0,0,1,5,5,1,0,0,1,2,2,0,0,Orthodox,180.34,185.42,185,33
Jon Jones,red,9/21/2013,Red,0.328369141,0.642893066,0.63394043,0.398925781,44.26586914,96.50585938,61.99023438,2.073486328,293.9543457,646.2553711,32,6,3,0,9,12,1,0,0,0,3,4,5,0,Orthodox,193.04,213.36,205,26
Chris Clements,red,9/21/2013,Blue,1,0.525,0,0,53,123.5,75,0,69.5,811,6,0,1,0,1,1,1,0,0,1,0,0,0,0,Orthodox,177.8,177.8,170,37
Brendan Schaub,red,9/21/2013,Red,0.1171875,0.5084375,0.34125,0.5,17.2265625,80.9453125,51.171875,2.75,391.9140625,573.921875,14,1,0,1,4,5,3,0,0,0,2,3,0,0,Orthodox,193.04,198.12,245,30
Renan Barao,red,9/21/2013,Red,0.0625,0.330625,0.253125,0.5625,57.4375,188.375,67.25,2.375,168.3125,1127.8125,16,2,5,0,5,5,0,0,0,0,3,0,2,0,Orthodox,167.64,177.8,145,26
John Makdessi,red,9/21/2013,Red,0.0625,0.4278125,0,0,72.75,160.65625,74.75,0,6.125,848.21875,16,0,2,0,2,4,2,0,0,0,3,1,0,0,Orthodox,172.72,172.72,155,28
Mitch Gagnon,red,9/21/2013,Red,0.5,0.43,0.1,0.5,16,50.5,25.5,0.5,115.5,384,4,0,0,1,1,1,1,0,0,0,0,0,1,0,Southpaw,165.1,165.1,135,28
Nandor Guelmino,red,9/21/2013,Blue,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,190.5,,230,37
Michel Prazeres,red,9/21/2013,Red,0,0.47,0.25,0,30,72,36,3,282,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,167.64,170.18,170,32
Roland Delorme,red,9/21/2013,Blue,0.125,0.465,0.345,1.5,22.75,85,52.25,3.375,297.25,629.875,8,0,2,0,2,3,1,0,0,0,1,0,2,0,Orthodox,175.26,180.34,135,29
Francisco Trinaldo,red,9/4/2013,Blue,0.125,0.625,0.6,1,13.75,35,23.625,1,127.875,341.625,7,0,1,0,2,3,1,0,0,0,0,1,2,0,Southpaw,175.26,177.8,155,35
Rafael Natal,red,9/4/2013,Red,0.25,0.49484375,0.50125,1.125,43.859375,151.265625,103.40625,2.234375,274.03125,819.75,20,0,0,2,2,4,3,0,0,0,3,0,1,0,Orthodox,182.88,195.58,185,30
Glover Teixeira,red,9/4/2013,Red,0.375,0.515,0.625,0.75,38.5,99.25,56.25,2.125,159.125,393.125,7,0,4,0,4,4,0,0,0,0,1,0,2,1,Orthodox,187.96,193.04,205,33
Marcos Vinicius,red,9/4/2013,Blue,0,0.37,0,0.5,16,47.5,25.5,0,1,512,5,0,1,0,1,1,1,0,0,0,0,1,0,0,Orthodox,175.26,,125,33
Yushin Okami,red,9/4/2013,Blue,0.012695313,0.410953369,0.453656006,0.002700806,29.93556213,114.2446289,64.84997559,2.211761475,317.8924408,815.9737244,47,1,4,0,4,13,4,0,0,2,6,4,0,1,Southpaw,187.96,190.5,170,32
Joseph Benavidez,red,9/4/2013,Red,1.0625,0.3303125,0.5215625,0.3125,52.9375,173.875,60.03125,1.21875,105.5625,783.1875,18,1,3,0,3,5,1,0,0,0,3,2,0,0,Southpaw,162.56,165.1,125,29
Lucas Martins,red,9/4/2013,Red,0.5,0.365,0,0,25.5,73.5,28,0,2,385.5,4,0,0,1,1,1,1,0,0,0,0,1,0,0,Southpaw,182.88,182.88,145,24
Felipe Arantes,red,9/4/2013,Blue,0,0.6525,0.25,0,33.25,69.625,45.25,0.5,132.25,556,10,0,0,1,1,2,2,0,0,0,1,1,0,0,Orthodox,172.72,185.42,135,25
Joao Zeferino,red,9/4/2013,Blue,0,0.35,0,2,14,50,22,0,21,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,,170,27
Keith Wisniewski,red,9/4/2013,Blue,0,0.51,0.4,0.5,27.75,65.5,38,2.25,291.5,825,8,0,0,3,0,0,3,0,0,0,0,0,0,0,Orthodox,182.88,,170,31
Yuri Villefort,red,9/4/2013,Blue,0,0.42,0.5,1,48,114,49,3,171,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,185.42,170,22
Jamie Varner,red,8/31/2013,Blue,0.375,0.389375,0.7,0.875,40.5625,135.4375,61.3125,4.875,183.5,722.9375,11,0,0,1,2,3,2,0,0,1,0,1,1,0,Orthodox,172.72,180.34,155,28
Louis Gaudinot,red,8/31/2013,Blue,0,0.345,0.5,0.5,35.5,105,56,1,112,656,5,0,0,1,1,1,1,0,0,0,0,0,1,0,Orthodox,160.02,160.02,125,29
Pascal Krauss,red,8/31/2013,Blue,0,0.4725,0.52,1,102.25,272.75,168,1.5,260.75,900,9,0,1,0,1,2,1,0,0,0,2,0,0,0,Orthodox,185.42,,170,26
Erik Koch,red,8/31/2013,Blue,0.25,0.3,0,0,18,71.75,35.25,0,19,489,6,0,2,0,2,2,1,0,0,0,1,1,0,0,Southpaw,177.8,180.34,170,24
Frank Mir,red,8/31/2013,Blue,0.044937134,0.470744896,0.111955185,0.13633728,20.81825542,64.91603184,38.33356285,0.502939224,56.80260181,687.6195269,33,5,2,0,4,14,7,0,0,0,2,3,8,0,Southpaw,190.5,200.66,264,34
Ben Rothwell,red,8/31/2013,Red,0.25,0.431875,0.061875,0.125,13.3125,39,20.0625,0.5625,81.375,389.125,11,0,0,1,1,2,3,0,0,0,1,1,0,0,Orthodox,193.04,198.12,265,31
Chad Mendes,red,8/31/2013,Red,0.875,0.6290625,0.04375,0,10.65625,20.3125,12.03125,0.28125,26.40625,141.5625,10,1,2,0,3,5,1,0,0,0,2,3,0,0,Orthodox,167.64,167.64,145,28
Benson Henderson,red,8/31/2013,Blue,0.28125,0.45078125,0.26359375,0.34375,81.578125,209.765625,113.203125,2.28125,330.5625,1462.5,29,4,7,0,7,7,0,0,0,2,5,0,0,0,Southpaw,175.26,177.8,170,29
Soa Palelei,red,8/31/2013,Red,0,0.56,1,0,21,43,27,1,349,804,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,193.04,205.74,265,36
Ryan Couture,red,8/31/2013,Blue,0,0.37,0.14,0,29,83,35,1,188,525,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,185.42,155,31
