glove_red=1,avg_KD,avg_SIG_STR_landed,total_time_fought(seconds),total_rounds_fought,Weight_lbs,age,categoria_tamano,golpes_pct
1,0.25,65.25,833.4375,13,145,29,0.931506849,1.054575702
1,0,37.25,532.25,7,205,25,0.961538462,1.37288733
1,0,22,216,1,250,39,0.9375,0.890688259
1,0.25,20.3125,494.5,7,205,28,0.951219512,1.283128324
1,0.0703125,18.10546875,677.859375,20,145,29,0.971428571,1.530405132
1,0.00390625,137.1044922,1395.839844,38,170,32,0.986111111,1.059449675
1,0.125,18.125,433.875,8,115,27,1.015873016,1.298701299
1,0,70,611.125,8,125,30,0.956521739,1.306816918
1,1.25,52.625,502.140625,18,185,27,0.925925926,1.048855197
1,0,41.5,280.5,3,170,26,0.986666667,1.105099574
1,0.08438203,43.37113669,594.3883662,75,155,37,1,1.370603346
1,0,64.75,900,12,125,32,1.015625,1.060363805
1,0,4,398,2,145,30,0.971014493,1.572897762
1,0.5,22,469,4,135,31,0.970149254,0.761904762
1,0,49.5,597.5,4,135,29,1,1.209161725
1,0.0625,65.875,871.25,15,135,32,0.906666667,1.084429957
1,0.5,23.5,466,7,125,36,0.985294118,0.634026066
1,0.500244141,96.50146484,896.9880371,35,155,34,0.985915493,1.076705004
1,0,18.09375,404.9375,13,155,26,1.01369863,1.184349271
1,0,61.5,699,5,145,31,1,1.0375
1,0.5,30,461,4,135,32,0.985294118,0.988446727
1,0,52.43359375,1043.332031,26,115,34,1.016129032,1.073631147
1,0.25,35.46875,898.625,25,125,37,0.971014493,1.475794772
1,0.265687943,57.11452985,697.3988283,51,205,39,0.948051948,1.233480156
1,1,27,213,1,155,30,0.957746479,1.018867925
1,0,9.5,374,3,155,28,0.98630137,1.058201058
1,0.595703125,73.73632813,717.8828125,25,170,31,1,1.256180663
1,0,102,900,9,135,23,0.957142857,1.021488108
1,0.507858276,28.0273428,696.2733479,48,205,37,0.9375,1.108110272
1,0.2578125,40.6953125,654.515625,18,145,34,1,0.998612374
1,0.75,36,646.25,7,170,26,1,1.072881983
1,0.25,60,837,9,125,33,0.941176471,1.090810977
1,0,22,900,3,185,30,0.935897436,1.277043269
1,0,24.5,900,6,135,31,1.059701493,1.422129726
1,0.632392883,58.19042969,703.0281601,37,265,40,0.95,1.055426292
1,0.078125,39.375,846.9375,18,185,30,0.972972973,1.064926298
1,0.053710938,64.88867188,1150.318359,36,205,32,1,0.967778601
1,0.00100708,31.08181763,492.1407776,35,145,38,0.957746479,1.200351494
1,0.024791718,63.90507698,1091.73927,63,170,38,0.959459459,0.916145953
1,0.5,65.375,749.5,14,125,30,0.930555556,1.163051362
1,0.51763916,83.68392897,797.7966471,58,145,32,0.95890411,1.089332943
1,0,28.25,428,6,185,29,0.933333333,1.2232644
1,0.5,83,900,6,170,27,0.972222222,1.183945183
1,0,9,376,2,115,26,1.015873016,1.452991453
1,0,27,400.75,8,115,28,0.970149254,1.310745419
1,0,16,349,2,225,36,1,1.021711367
1,0.5,112,708.5,5,170,33,0.986486486,1.068192656
1,0,9,226,2,205,32,1.013513514,1.552238806
1,0,38,348,3,115,33,0.984615385,1.025641026
1,1,29,162,1,125,23,0.970588235,1.109399076
1,0,51.125,750,11,155,28,0.985915493,1.05221732
1,0.5625,73.63012695,641.107666,26,135,33,1.015384615,0.953580151
1,0.190672874,15.03542233,349.394084,54,238,36,0.987012987,0.999523312
1,0.5,6,121.5,2,145,32,0.945205479,1.098901099
1,0,61.796875,884.5546875,21,115,35,0.984615385,1.04467161
1,0.5,36.5,312.5,8,135,25,0.986111111,0.90956848
1,0.786407471,39.99551392,760.2132568,46,135,35,0.954545455,1.0936202
1,0.58694458,80.02575684,859.5865173,39,240,37,0.95,1.106963165
1,0,32,518,2,145,30,0.958333333,1.124567474
1,1.63E-08,16.80339903,325.0623576,77,155,36,0.957746479,1.007814821
1,0.0625,50.9375,900,18,115,32,0.971014493,1.234786488
1,0.281984329,37.43572521,391.4024639,45,170,36,0.986666667,0.957304363
1,0.5,26.25,372.28125,15,185,27,0.925925926,1.109835422
1,0.5,31.75,344,12,155,24,0.972222222,0.931825199
1,0.049072266,20.98163605,809.2813835,44,260,35,0.949367089,1.146143815
1,0,57.625,679.625,10,135,30,0.970588235,1.176690824
1,0.519546509,18.81417847,363.9515533,35,155,31,0.972222222,1.022636022
1,0,44.5,635,5,185,29,0.933333333,1.188759233
1,0.004394531,46.19140625,896.6401367,30,185,32,0.98630137,1.188575692
1,0,45,900,6,145,23,0.972222222,1.085568327
1,0,34,900,3,135,31,0.985074627,1.023391813
1,0,38,848.5,9,145,34,1,1.051901666
1,0.125,56.234375,882.75,21,185,32,0.986486486,1.117866827
1,0.01953125,93.09375,849.9492188,24,125,34,1.015384615,1.134073345
1,0.3125,31.74609375,486.6875,25,135,39,1,1.213311732
1,0,54,900,3,145,31,0.945945946,1.043956044
1,0.622558594,102.0290527,798.3233643,28,170,28,0.946666667,1.003101649
1,0.049102783,56.35980225,740.2371216,28,185,36,0.948051948,1.191675836
1,1,53.875,690,10,145,29,1.029850746,1.023919576
1,1.48E-01,66.4140625,819.4609375,22,155,28,0.971830986,1.113987148
1,0.020568848,33.93917847,840.3583527,39,170,32,0.934210526,1.159111248
1,0.101928711,63.86962891,882.0343018,37,185,29,0.98630137,1.078608654
1,0.447593689,28.97455025,709.5703449,51,205,38,0.960526316,1.250561821
1,0.062996864,42.5533886,873.965085,53,155,41,0.985714286,1.027287686
1,0,39.63085938,897.7685547,32,115,32,0.968253968,1.271456879
1,0,43,372,2,170,26,0.986666667,1.080139373
1,0.25,33.39453125,625.1914063,18,205,32,0.986842105,1.23158504
1,0.049072266,61.40629578,940.1629333,43,231,42,0.987012987,1.178771825
1,0,33.9375,900,15,170,35,0.959459459,1.471804777
1,0.5,38.75,530.5,7,255,28,0.986666667,0.913470747
1,0,60.5,900,6,145,26,0.930555556,1.058510638
1,0.25,33.625,900,12,170,33,0.921052632,1.198920648
1,0,57.515625,838.46875,27,135,37,1.015625,1.136850083
1,0.125,42.25,585.75,10,140,27,0.956521739,1.27317907
1,0.078125,21.828125,746.5,14,155,32,0.95890411,1.187603295
1,0,51.6953125,593.5371094,20,185,32,0.948051948,1.166318003
1,0.265625,45.1015625,867.78125,21,155,27,0.95890411,1.013626583
1,0.6328125,39.359375,439.4609375,18,125,30,0.970149254,0.972217697
1,0,28.5,535.75,7,145,26,0.972222222,1.074758969
1,0.7109375,25.421875,458.6875,18,125,32,0.955882353,1.034889164
1,0.5,45.75,900,9,125,26,0.985074627,1.394117226
1,0,42.96875,782.125,16,135,28,0.943661972,1.082316479
1,0,22.9375,754,14,155,33,0.942857143,1.28244076
1,0,98.125,840.625,11,125,30,1.032258065,1.084932707
1,0.75,16.875,368.875,8,185,35,0.946666667,0.855640393
1,0.0625,21.34375,468.8125,14,145,24,0.958333333,1.211639593
1,0.06640625,54.06640625,842.6445313,23,135,31,0.941176471,1.154054653
1,0.703125,54.03125,558,16,145,32,0.986111111,1.066200393
1,1.0625,17.5625,170.4375,7,170,34,0.95890411,0.95049505
1,0.000244141,25.69018555,555.6328125,33,125,33,1.015151515,1.251065471
1,0,98,900,3,125,24,0.985294118,1.052631579
1,0,46,771,3,135,25,0.957746479,1.165467626
1,0,35.75,416,13,145,31,1.014705882,1.447371058
1,0.125244141,31.36206055,273.2927551,36,115,28,0.983870968,1.296643871
1,0.015625,18.78125,775.828125,16,145,31,0.972222222,1.173884398
1,0.5078125,58.7421875,780.40625,18,205,30,0.986666667,1.291006271
1,0.09375,49.00195313,750.6464844,25,170,33,0.97260274,1.004218374
1,2.0625,59.65625,731.125,15,135,27,1,1.025161689
1,0.2578125,119.6640625,1143.578125,23,145,31,0.929577465,1.039921595
1,1.0859375,146.0595703,1425.553711,38,170,33,0.947368421,1.126195059
1,0,66.25,782.5,8,125,26,0.954545455,1.268892974
1,0.625,18.375,398.609375,15,155,40,0.96,0.849404442
1,1,171,900,3,135,25,0.970149254,1.030027933
1,0.001953125,32.91992188,643.0175781,28,249,34,0.961538462,1.09288497
1,0.5,44.5,560,6,125,24,0.985507246,1.248895434
1,1,100,900,3,145,31,0.95890411,1.078831125
1,0.03125,41.34375,850.25,16,155,26,1,1.015126947
1,0,41,900,3,240,34,0.948717949,1.01010101
1,0.00982666,39.42559814,487.8641968,38,230,34,0.986842105,0.93386137
1,0,111,900,3,145,28,0.948717949,1.175548589
1,0.009765625,36.29052734,452.0302734,27,170,28,0.985915493,1.111958328
1,0.130493164,71.86966515,904.4744825,53,155,31,0.958333333,1.286894972
1,0,15,402.5,3,185,24,0.986666667,1.160909696
1,0.5,28.5,546.5,5,170,30,0.95890411,1.101249178
1,0,30.75,709,8,145,30,0.95890411,1.050071191
1,3.26E-08,31.60679805,505.1247152,76,155,36,0.957746479,1.164415614
1,0,52.5,900,9,185,30,0.986486486,1.069893329
1,0.079101682,26.03260895,323.7547258,71,155,38,0.957142857,1.18677779
1,0,52.79882813,804.2128906,28,170,31,0.986111111,1.18305764
1,0.0078125,25.80273438,455.4570313,25,265,29,0.95,1.158224317
1,1.0625,25.7109375,468.6875,19,145,35,0.942857143,1.005245703
1,0.000976563,40.78710938,891.453125,32,115,30,1.016666667,1.181034208
1,0,40.51757813,926.7333984,35,135,31,1,1.22619022
1,0,42.25097656,554.1015625,27,125,33,1,0.974753121
1,0,42.15625,370.375,14,170,31,0.95890411,1.286152094
1,0.5,26.9375,897.25,22,125,37,0.971014493,1.618685886
1,0,44.25,900,9,155,28,0.985915493,1.109751122
1,0.270507813,47.97790527,719.7299805,34,145,29,0.959459459,1.102394594
1,0.0625,59.75,900,15,135,29,0.970588235,1.47727512
1,0,14,322.25,5,125,30,0.956521739,1.04142452
1,0.125,39.78125,742.6875,12,185,29,0.986486486,1.006792775
1,0,22.640625,693.609375,19,145,33,1,0.806396811
1,0,65.84375,756.0019531,34,125,33,1,1.290138092
1,1,49,900,3,135,32,0.985294118,1.161971831
1,0,45,900,6,125,36,0.985294118,1.053215078
1,0,44.9375,852.75,17,145,30,1.03125,1.277716387
1,1.161621094,54.71801758,685.4521484,31,135,35,0.971014493,1.037023096
1,0.03527832,64.36785793,695.5932941,55,145,31,0.95890411,1.129068629
1,0.06262207,35.51123047,712.0203857,39,135,37,0.984848485,1.33231535
1,0.502929688,56.78320313,957.1694336,29,145,32,0.985507246,1.230320037
1,0,124.1191406,826.2851563,35,135,30,0.943661972,1.069427598
1,0.125015259,60.90101051,834.0520601,55,170,32,0.9375,1.142405622
1,0.125,52.75,900,12,185,31,0.986111111,1.124905286
1,0,12.75,187.75,4,185,36,0.95890411,1.619778346
1,3.81E-06,32.81389427,509.6755199,49,155,38,1,1.320835321
1,0.5,20.5,217.5,2,205,32,0.947368421,1.111829347
1,0.032226563,16.95379639,805.4690552,37,125,35,0.970149254,1.535200923
1,0.25,43.625,975,14,250,33,0.97260274,1.090602301
1,0,101,900,3,205,29,0.962025316,1.005124162
1,0.25,31.25,711.75,7,115,27,1.015873016,1.203007519
1,1,49,517,2,170,33,0.986486486,1.012396694
1,0.00390625,45.14453125,781.5,27,125,31,1.014705882,1.288225579
1,0.490478516,44.13647461,1229.739258,37,170,38,0.932432432,1.049946433
1,0,30.375,823.75,10,155,26,1.01369863,1.310563622
1,0,74,498,2,145,31,1,0.979563073
1,0.000488281,34.38037109,613.265625,31,125,33,1.015151515,1.20900198
1,0.500488281,41.828125,348.8916016,30,135,28,1.014705882,1.005281667
1,0,47.75,813,8,145,29,1.029850746,1.032671133
1,0.375,45.875,770.5625,14,145,28,0.943661972,1.09873217
1,0.0078125,40.02148438,882.28125,30,115,31,1.015873016,1.226224913
1,0,38,473,4,185,26,0.96,1.119754833
1,0,48.5,900,6,145,31,0.972972973,1.075581395
1,0.34765625,43.1171875,696.0703125,25,185,33,0.973333333,0.858478331
1,0.376254082,30.16722047,485.8142012,56,170,39,0.96,1.080544198
1,0.264785767,48.38085938,926.0563202,35,265,39,0.95,1.039979276
1,0.375,29.8125,646.9375,10,145,22,1.014925373,1.249746399
1,0,78.50195313,892.203125,26,125,33,1,1.03182017
1,0.015655518,44.81400299,856.9726686,54,145,36,0.985915493,1.214293072
1,0.25,40.9375,686.5,13,135,27,0.956521739,1.005373723
